video_filename,url,title,length_seconds,publish_date,description,keywords,date,date_src,transcription_filename
video_424.mp4,https://www.youtube.com/watch?v=6YSTYsXbyU0,"Cumhurbaşkanımız Erdoğan, Türkiye’nin 500 Büyük Hizmet İhracatçısı Ödül Töreni'nde konuştu",1511,2018-12-21 00:00:00,,[],21.12.2018,live_stream,
video_425.mp4,https://www.youtube.com/watch?v=NjiSmfCv6MQ,"Cumhurbaşkanımız Erdoğan, Cumhurbaşkanlığı Kültür Sanat Büyük Ödülleri Töreni'nde konuştu",1541,2018-12-19 00:00:00,,[],19.12.2018,live_stream,
video_426.mp4,https://www.youtube.com/watch?v=Kk7U2lSUZeo,"Cumhurbaşkanımız Erdoğan, Hz. Mevlana'nın 745. Vuslat Yıl Dönümü Şeb-i Arus Program'ında  konuştu",816,2018-12-17 00:00:00,,[],17.12.2018,live_stream,
video_427.mp4,https://www.youtube.com/watch?v=3SE-X0TJwqk,"Cumhurbaşkanımız Erdoğan, Konya' da Toplu Açılış Töreni'nde konuştu",2381,2018-12-17 00:00:00,,[],17.12.2018,live_stream,
video_428.mp4,https://www.youtube.com/watch?v=mvd09k8zyiQ,"Cumhurbaşkanımız Erdoğan, İstanbul'da Toplu Açılış Töreni'nde konuştu",3005,2018-12-16 00:00:00,,[],16.12.2018,live_stream,
video_429.mp4,https://www.youtube.com/watch?v=BYrhYjQK6vU,"Cumhurbaşkanımız Erdoğan, Kudüs Platformu İkinci Konferansı'nda konuştu",2435,2018-12-14 00:00:00,,[],14.12.2018,live_stream,
video_430.mp4,https://www.youtube.com/watch?v=9zuHAnbh-mc,"Cumhurbaşkanımız Erdoğan, İslam İşbirliği Teşkilatı Yargı Konferansı'nda konuştu",1202,2018-12-14 00:00:00,,[],14.12.2018,live_stream,
video_431.mp4,https://www.youtube.com/watch?v=Mfg1QFLLwQM,"Cumhurbaşkanımız Erdoğan, İkinci 100 Günlük Eylem Planı Tanıtım Toplantısı‘nda konuştu",4613,2018-12-13 00:00:00,,[],13.12.2018,live_stream,
video_432.mp4,https://www.youtube.com/watch?v=dOMvYKMO__U,"Cumhurbaşkanımız Erdoğan, 'İnsanlığın Medeniyeti' programında konuştu",1152,2018-12-10 00:00:00,,[],10.12.2018,live_stream,
video_433.mp4,https://www.youtube.com/watch?v=V0cp0r1Sfq0,"Cumhurbaşkanımız Erdoğan, Üsküdar'da Toplu Açılış Töreni'nde konuştu",2692,2018-12-08 00:00:00,,[],08.12.2018,live_stream,
video_434.mp4,https://www.youtube.com/watch?v=2aZR6nLyEdA,"Cumhurbaşkanımız Erdoğan, Kadir Turgut’un cenaze töreninde hitap etti",317,2018-12-07 00:00:00,,[],,,
video_435.mp4,https://www.youtube.com/watch?v=if_1RgxxYvI,"Cumhurbaşkanımız Erdoğan, Türkiye - Venezuela İş Forumu’nda konuştu",1401,2018-12-03 00:00:00,,[],03.12.2018,live_stream,
video_436.mp4,https://www.youtube.com/watch?v=EpYjcVuPlRs,"Cumhurbaşkanımız Erdoğan, 34’üncü İSEDAK Toplantısı’nda konuştu",1560,2018-11-28 00:00:00,,[],27.11.2018,live_stream,
video_437.mp4,https://www.youtube.com/watch?v=5Zmws_JXw7U,"Cumhurbaşkanımız Erdoğan, ""Uyuşturucu Politikaları ve Halk Sağlığı Sempozyumu""nda konuştu",1202,2018-11-26 00:00:00,,[],26.11.2018,live_stream,
video_438.mp4,https://www.youtube.com/watch?v=k41WaIo0suY,"Cumhurbaşkanımız Erdoğan, İMÜ Laboratuvar Açılışı ve Kütüphane Temel Atma Töreni’nde konuştu",1550,2018-11-23 00:00:00,,[],23.11.2018,live_stream,
video_439.mp4,https://www.youtube.com/watch?v=UwTE_UmpSSU,"Cumhurbaşkanımız Erdoğan, TürkAkım Projesi Deniz Bölümünün Tamamlanması Töreni’nde konuştu",1667,2018-11-19 00:00:00,,[],19.11.2018,live_stream,
video_440.mp4,https://www.youtube.com/watch?v=UwurIa0_ui4,"Cumhurbaşkanımız Erdoğan, 2018 Yılı Mevlid-i Nebi Haftası açılışında konuştu",1982,2018-11-17 00:00:00,,[],17.11.2018,live_stream,
video_441.mp4,https://www.youtube.com/watch?v=7knyel87k1c,"Cumhurbaşkanımız Erdoğan, Millet Bahçeleri Açılış Töreni'nde konuştu",3027,2018-11-17 00:00:00,,[],17.11.2018,live_stream,
video_442.mp4,https://www.youtube.com/watch?v=ac7LT66tieE,"Cumhurbaşkanımız Erdoğan, Atatürk’ü Anma Programı‘nda konuştu",1164,2018-11-10 00:00:00,,[],10.11.2018,live_stream,
video_443.mp4,https://www.youtube.com/watch?v=S990wzXdouk,"Cumhurbaşkanımız Erdoğan, Eğitim ve İstişare Toplantısı‘nda konuştu",1322,2018-11-08 00:00:00,,[],08.11.2018,live_stream,
video_444.mp4,https://www.youtube.com/watch?v=PXVtmLPdcx4,"Cumhurbaşkanımız Erdoğan, Sağlık Bilimleri Üniversitesi Akademik Yıl Açılış'ında konuştu",986,2018-11-07 00:00:00,,[],07.11.2018,live_stream,
video_445.mp4,https://www.youtube.com/watch?v=Y31chW6jOQg,"Cumhurbaşkanımız Erdoğan, iş insanı Abdullah Tivnikli'nin cenaze töreninde konuştu",157,2018-11-06 00:00:00,,[],,,
video_446.mp4,https://www.youtube.com/watch?v=p9gSjrIRYi0,"Cumhurbaşkanımız Erdoğan, “Fidanlar Fidanlarla Büyüyor” programında konuştu",1847,2018-11-06 00:00:00,,[],06.11.2018,live_stream,
video_447.mp4,https://www.youtube.com/watch?v=D6YGZIrG_54,"Cumhurbaşkanımız Erdoğan, Gülseren Özdemir Özel Eğitim Uygulama Okulu’nun açılışında konuştu",1004,2018-11-05 00:00:00,,[],05.11.2018,live_stream,
video_448.mp4,https://www.youtube.com/watch?v=DaivzifKyLA,"Cumhurbaşkanımız Erdoğan, İstanbul Tersanesi Komutanlığı'nda konuştu",2223,2018-11-04 00:00:00,,[],04.11.2018,live_stream,
